,Name,Age,Department,Salary,DateOfJoining,Designation,Email,Status,EmailValid,zs_age,zs_sal,DOJ_numeric,Bonus,Manager
0,Alice,26.0,IT,91828.15,1547078400000000000,Clerk,alice@example.com,Active,False,0.04553524445182666,-0.48416257345604297,1547078400,9182.815,Mike
1,Bob,,Finance,,1505433600000000000,,invalid_email,,False,,,1505433600,,Sarah
2,Charlie,,HR,9999999.0,-9223372036854775808,Manager,charlie@example.com,Inactive,False,,1.9595858212258526,-9223372037,999999.9,John
3,David,41.0,,72011.5,-9223372036854775808,Engineer,david@example.com,,False,0.3324072844983357,-0.48905014628442967,-9223372037,7201.150000000001,
4,Eva,29.0,Admin,84763.2,1435017600000000000,,invalid_email,Active,False,-0.8150808756877003,-0.485905070682058,1435017600,8476.32,
5,Frank,50.0,Sales,64000.0,1505433600000000000,Analyst,frank@example.com,,False,1.1930234046378627,-0.49102610032886296,1505433600,6400.0,
6,Grace,28.0,IT,9999999.0,1547078400000000000,Clerk,grace@example.com,Inactive,False,-0.9107048890365367,1.9595858212258526,1547078400,999999.9,Mike
7,Hannah,45.0,HR,54000.0,-9223372036854775808,Manager,hannah@example.com,,False,0.714903337893681,-0.49349249743855944,-9223372037,5400.0,John
8,Ian,,Admin,60000.0,-9223372036854775808,,invalid_email,,False,,-0.49201265917274156,-9223372037,6000.0,
9,Jane,33.0,,70000.0,1435017600000000000,Engineer,jane@example.com,Active,False,-0.432584822292355,-0.4895462620630451,1435017600,7000.0,
10,Kevin,,Finance,,1505433600000000000,Manager,invalid_email,,False,,,1505433600,,Sarah
11,Laura,38.0,IT,48000.0,-9223372036854775808,Clerk,laura@example.com,,False,0.04553524445182666,-0.4949723357043774,-9223372037,4800.0,Mike
12,Mike,24.0,Sales,82000.0,1547078400000000000,,mike@example.com,Inactive,False,-1.293200942431882,-0.4865865855314093,1547078400,8200.0,
13,Nina,55.0,,9999999.0,1435017600000000000,Analyst,invalid_email,,False,1.6711434713820443,1.9595858212258526,1435017600,999999.9,
14,Oscar,30.0,Admin,61000.0,-9223372036854775808,Engineer,oscar@example.com,,False,-0.719456862338864,-0.49176601946177195,-9223372037,6100.0,
15,Pam,,HR,67000.0,1505433600000000000,,pam@example.com,Active,False,,-0.490286181195954,1505433600,6700.0,John
16,Quentin,27.0,Finance,77000.0,-9223372036854775808,Director,quentin@example.com,,False,-1.006328902385373,-0.48781978408625754,-9223372037,7700.0,Sarah
17,Rachel,,IT,76000.0,1547078400000000000,Clerk,invalid_email,,False,,-0.4880664237972272,1547078400,7600.0,Mike
18,Sam,41.0,Sales,69000.0,-9223372036854775808,Engineer,sam@example.com,,False,0.3324072844983357,-0.48979290177401474,-9223372037,6900.0,
19,Tina,33.0,Admin,,1435017600000000000,Manager,tina@example.com,Inactive,False,-0.432584822292355,,1435017600,,
20,Uma,,,55000.0,-9223372036854775808,Director,invalid_email,,False,,-0.49324585772758983,-9223372037,5500.0,
21,Victor,22.0,HR,9999999.0,1505433600000000000,,victor@example.com,Active,False,-1.4844489691295546,1.9595858212258526,1505433600,999999.9,John
22,Wendy,60.0,IT,73000.0,-9223372036854775808,Engineer,invalid_email,,False,2.1492635381262257,-0.48880634293013614,-9223372037,7300.0,Mike
23,Xander,,Finance,80000.0,1547078400000000000,,xander@example.com,,False,,-0.4870798649533486,1547078400,8000.0,Sarah
24,Yvonne,39.0,Sales,67000.0,-9223372036854775808,Clerk,yvonne@example.com,Inactive,False,0.141159257800663,-0.490286181195954,-9223372037,6700.0,
25,Zack,45.0,Admin,,-9223372036854775808,Director,zack@example.com,Active,False,0.714903337893681,,-9223372037,,
26,Leo,33.0,HR,,1505433600000000000,Manager,invalid_email,,False,-0.432584822292355,,1505433600,,John
27,Mona,27.0,Finance,58000.0,1435017600000000000,,mona@example.com,,False,-1.006328902385373,-0.4925059385946809,1435017600,5800.0,Sarah
28,Nick,50.0,IT,9999999.0,-9223372036854775808,Engineer,invalid_email,Inactive,False,1.1930234046378627,1.9595858212258526,-9223372037,999999.9,Mike
29,Olive,,Sales,62000.0,-9223372036854775808,,olive@example.com,,False,,-0.4915193797508023,-9223372037,6200.0,
